Number,Konkani Word in Devnagiri,Konkani word in English alphabet,English Meaning,Context/usage in a sentence,Does the Devnagiri Spelling need correction? (Y/N),Does the meaning need correction? (Y/N),Corrected Devnagiri Spelling by user X,Corrected Devnagiri Spelling by user Y,Corrected English meaning by user X,Corrected English meaning by user Y
2401,ऊ,,head lice,,,,,,,
2402,ऊणे,,less,,,,,,,
2403,ऊव्वारू,,flood,,,,,,,
2404,उवारो,,"thunderstorm, cyclone",,,,,,,
2405,उव्वारु,,flood,,,,,,,
2406,वांटो/वांटाॅ,,share,,,,,,,
2407,वर्ल/शेरगं/पदर,,upper part of saree sometimes used as veil,,,,,,,
2408,वंतं,,sunshine,,,,,,,
2409,पाsडं/वाईट्,,bad,,,,,,,
2410,वाईटू,,cruel,,,,,,,
2411,वांचयि,,save,,,,,,,
2412,वांटि,,distribute,,,,,,,
2413,वांटो,,share,,,,,,,
2414,वाद विवादू,,argument,,,,,,,
2415,वाड्चे,,serving food/growing,,,,,,,
2416,वाड्डोचे,,increase,,,,,,,
2417,वाsढी,,grow,,,,,,,
2418,वाडि,,interest (on capital); interest; serve (food); interest on principle,,,,,,,
2419,वाघु,,tiger,,,,,,,
2420,वागु,,tiger,,,,,,,
2421,"वाग्वाळे, पाक्को/पाक्कोळी",,bat,,,,,,,
2422,वाइट,,bad,,,,,,,
2423,वाइट कोर्चे,,destruction; spoiling,,,,,,,
2424,वाज्जपं,,orchestra as played in a wedding etc,,,,,,,
2425,वाजि,,"study, read; play (instrument); read",,,,,,,
2426,वाज्जप,,band (musical),,,,,,,
2427,वाज्जप्प,,band,,,,,,,
2428,वाज्जुचे,,reading,,,,,,,
2429,वालि,,creeper(plant) / spinach,,,,,,,
2430,"वाळि,/मायाळू",,creeper,,,,,,,
2431,वाळ्ती,,termite,,,,,,,
2432,वाणू घाल्चे,,straining of cooked rice etc,,,,,,,
2433,वापस,,back / return,,,,,,,
2434,लग्नं,,wedding,,,,,,,
2435,वारें,,air,,,,,,,
2436,वाsरू,,day,,,,,,,
2437,वावरू,,to stay/presence,,,,,,,
2438,वासरि,,kitchen,,,,,,,
2439,वासो,,bamboo,,,,,,,
2440,वास्रु,,calf; calf of a cow,,,,,,,
2441,वास्सरी,,kitchen; sitting room,,,,,,,
2442,वासुरु,,calf,,,,,,,
2443,वाट,,way; road/way to go,,,,,,,
2444,वाति,,wick,,,,,,,
2445,वाट्टे,,plate,,,,,,,
2446,वाट्टेरि,,on the way,,,,,,,
2447,वाट्टोळि,,small plate,,,,,,,
2448,वायट,,bad,,,,,,,
2449,"वाय्कार., वाय्करं",,gaseous,,,,,,,
2450,वायु,,gas; air,,,,,,,
2451,वग्गि,,quick; fast,,,,,,,
2452,वग्वाळे,,bat,,,,,,,
2453,वै,,yes,,,,,,,
2454,वाय्गणं,,eggplant,,,,,,,
2455,वैद्य,,medicine,,,,,,,
2456,वक्कदं,,eggplant/brinjal,,,,,,,
2457,हाय्णौ,,a fan (noun),,,,,,,
2458,वैरि,,above; enemy,,,,,,,
2459,वैशाकु,,summer,,,,,,,
2460,वेष्टी,,dhoti,,,,,,,
2461,वेसू,,disguise,,,,,,,
2462,वाईट्,,damage,,,,,,,
2463,वज्र,,diamond,,,,,,,
2464,वक्क.द,,medicine,,,,,,,
2465,वक्कद,,medicine,,,,,,,
2466,व्हकंलं,,bride,,,,,,,
2467,वsली,,blanket,,,,,,,
2468,वलि,,light blaket,,,,,,,
2469,वल्ले,,wet,,,,,,,
2470,वांन्की,,ornament worn on the arm,,,,,,,
2471,व्हंनि,,elder brothers wife,,,,,,,
2472,वोपास,,again,,,,,,,
2473,वपास,,return/repeat,,,,,,,
2474,वप्पास,,again,,,,,,,
2475,वाप्परं,,use,,,,,,,
2476,वरस,,year,,,,,,,
2477,व्हरेतु,,bridegroom,,,,,,,
2478,वार्डीक,,marriage,,,,,,,
2479,वार्डीके मांटोवू,,the place where marriage is held,,,,,,,
2480,वरेन,,after,,,,,,,
2481,वर्लेलें,,"balance, left over",,,,,,,
2482,वर्स,,year,,,,,,,
2483,वर्शिक,,death anniversary,,,,,,,
2484,"वस, वचं",,go,,,,,,,
2485,वासरी,,kitchen,,,,,,,
2486,वास्रू/वासरू,,calf,,,,,,,
2487,वस्स,,go,,,,,,,
2488,वस्तु,,things; object,,,,,,,
2489,"वाॅट्राचें, वाॅटराशे कुटुंब",,joint family,,,,,,,
2490,वाsटी,,grind,,,,,,,
2491,वाट्टूचें,,grind (wet),,,,,,,
2492,वावंटेचे/वावंटं,,tired,,,,,,,
2493,वेगळ,,different,,,,,,,
2494,वेळु,,late / time,,,,,,,
2495,वेणी,,sons/daughters mother in law,,,,,,,
2496,वेणि,,brides mother and grooms mother to each other,,,,,,,
2497,फांती/पांथी,,plait,,,,,,,
2498,वेयु,,sons/daughters father in law; brides father and grooms father to each other,,,,,,,
2499,व्हाण,,footwear; boot / slippers; slippers,,,,,,,
2500,व्हंनी,,sister in law,,,,,,,
2501,व्हक्कल,,bride,,,,,,,
2502,व्हरण,,wedding procession,,,,,,,
2503,व्हर्रेतु,,bride groom,,,,,,,
2504,विंदूरू/ऊन्दूरू,,mouse,,,,,,,
2505,विंद्रा चिवंडी,,baby rats,,,,,,,
2506,विंदुरु,,rat,,,,,,,
2507,कोळ विंदूरू घूssस,,rat,,,,,,,
2508,विंगड,,different / other; separate; different,,,,,,,
2509,विचारु,,thoughts,,,,,,,
2510,विच्चु,,scorpion,,,,,,,
2511,पाठशाळा वर्गु,,university,,,,,,,
2512,विद्या/बरपं,,education,,,,,,,
2513,वीन्डि,,knit,,,,,,,
2514,"वीश, वीषं",,poison,,,,,,,
2515,वीक,,sell,,,,,,,
2516,विक्चे,,selling,,,,,,,
2517,विनाश,,destruction,,,,,,,
2518,विन्डूचे,,knitting (weaving/plaiting),,,,,,,
2519,विन्दूरु,,rat,,,,,,,
2520,विंगड् कोर्चे,,change,,,,,,,
2521,विपरीथ,,too much / excessive,,,,,,,
2522,विप्रमीत,,too much / excessive,,,,,,,
2523,विप्पत्ती,,danger,,,,,,,
2524,विक्राचे,,to spill,,,,,,,
2525,विक्राचे विक्रलें,,spilled,,,,,,,
2526,विर्शे,,specially given to delivered woman,,,,,,,
2527,येद्राकं,,against,,,,,,,
2528,विस्सोणू,,king fish,,,,,,,
2529,विषयू,,about,,,,,,,
2530,विशयु,,topic; matter,,,,,,,
2531,विष्व,,world,,,,,,,
2532,विश्वासु,,belief; trust; faith,,,,,,,
2533,विसोर्चे,,forgetting,,,,,,,
2534,विस्तार,,"detail, spreading",,,,,,,
2535,विवर्सुचें,,detail,,,,,,,
2536,वोंकारे,,nauseating,,,,,,,
2537,वोंकि,,vomit,,,,,,,
2538,वोंटु,,lip,,,,,,,
2539,वोंवों,,ajwain,,,,,,,
2540,वोच्चे,,going,,,,,,,
2541,"वोक्क.द, वोक्कदं/वक्कदं",,medicine,,,,,,,
2542,ओळई,,comb (hair),,,,,,,
2543,वली,,blanket,,,,,,,
2544,वोल्ले,,wet/damp,,,,,,,
2545,वोरे,,skewed; curve,,,,,,,
2546,वोरोचे,,saving,,,,,,,
2547,वोट्टो,,hole,,,,,,,
2548,वोट्टु,,"along, gather",,,,,,,
2549,वावंट,,problem,,,,,,,
2550,ऊं,,lice,,,,,,,
2551,ऊडं,,jump,,,,,,,
2552,वुकुदा तंदुलु,,boiled rice,,,,,,,
2553,"ऊंड्डो,",,ball,,,,,,,
2554,हुर्हुरें/हुरवुरें,,measles,,,,,,,
2555,व्याप्ति,,profession,,,,,,,
2556,व्यार,,business,,,,,,,
2557,व्यारु,,business,,,,,,,
2558,व्यायाम,,exercise,,,,,,,
2559,व्यर्थ,,waste,,,,,,,
2560,"व्यत्यासु, व्यत्यायू",,similar solution/creating problems,,,,,,,
2561,व्यवहार,,behaviour; business,,,,,,,
2562,वाजी,,study/read,,,,,,,
2563,मायाळू,,chinese spinach,,,,,,,
2564,या,,otherwise,,,,,,,
2565,यात्रा,,pilgrimage; travel,,,,,,,
2566,यजमानु,,boss,,,,,,,
2567,यज्मानु,,owner,,,,,,,
2568,यश,,fame,,,,,,,
2569,यॅच्चनां,,worry,,,,,,,
2570,येद्दे,,little,,,,,,,
2571,यॅडो/ऍडो,,narrow gap,,,,,,,
2572,येदुर,,front,,,,,,,
2573,येदुर्काण्सणि,,first part of the marriage welcoming bridegrooms party by brides party,,,,,,,
2574,एक्कडे,,this way,,,,,,,
2575,येळु,,cardamom,,,,,,,
2576,येत्तर,,high,,,,,,,
2577,येवाळें,,water snake,,,,,,,
2578,येव्चे,,coming,,,,,,,
2579,याॅ,,come,,,,,,,
2580,युद्ध,,war,,,,,,,
2581,ज़ाव,,husbands elder brothers wife,,,,,,,
2582,ईच्छा,,Wish,,,,,,,
2583,मूसू,,a fly,,,,,,,
2584,निस्तोरचें,,to gather everything,,,,,,,
2585,तांबूलं,,betal nut leaves,,,,,,,
2586,पाट बांधचो,,give a certain position,रायाक पाट बांधलो,,,,,,
2587,रान्नी पेडी,,kitchen fire place,,,,,,,
2588,रात्ती,,at night,,,,,,,
2589,हात्ता रट्टो,,forearm or wrist,,,,,,,
2590,सोधूक,,to find,,,,,,,
2591,सूजी,,swelling,,,,,,,
2592,तोट्टू,,baby pacifier,,,,,,,
2593,चाब्बून खावचे,,to chew,,,,,,,
2594,ऊजवाडू,,light,,,,,,,
2595,जायना,,can not do,,,,,,,
2596,अजीर्ण,,non-digestion,,,,,,,
2597,जीssर्ण,,very old,,,,,,,
2598,जेव्का/जेव्चें आस्सं,,yet to have food,,,,,,,
2599,झगडो,,quarrel,,,,,,,
2600,काथ्थो,,mango seed,,,,,,,
2601,बुट्टी,,cain basket,,,,,,,
2602,कणी,,broken seed,,,,,,,
2603,कळवई,,subtract,,,,,,,
2604,तुणतना,tuntana,does not break,,,,,,,
2605,अंगुष्ट​,,,,,,,,,
2606,अच्च गोरी,achcha gorI,pure white,,,,,,,
2607,अन्नी,,,,,,,,,
2608,अर्दकूडॅ काम,ardakUDE kAma,"work half done, half finished",,,,,,,
2609,अली / अळ्ळीं,Aallii / Allin,"saltless, when salt is less",,,,,,,
2610,अळ्ळें,aLLE; aallaen,"salt less & also used as having less salt; salt less, having less salt",,,,,,,
2611,अश्शी तश्शी म्होणू,ashshI tashshI mhoNu; ashshi tashshi mhonu; ashshi tashshi mhoNu,"generally speaking, or largely speaking; generally speaking",,,,,,,
2612,"आं, व्हय्-व्हय्",,Ah. Yes Yes,,,,,,,
2613,आंक्डॅ मेज़ुनु,AnkDE mejunu,to count numbers,,,,,,,
2614,आंग​,,,,,,,,,
2615,आंग शिग्गी ज़ाल्लॅ,Anga shiggI zAllE,"to get gooseflesh, with negative feelings, especially if you see something very unpleasant or horrific",,,,,,,
2616,आंगटॉ,,,,,,,,,
2617,आंगलट​,,,,,,,,,
2618,आंगारी येंवचॅ,AngArI yEnvchE,to get flustered or burst into tantrums,,,,,,,
2619,आग्गळ/ ळु​,,,,,,,,,
2620,आचकुचली,aachkuchali,to tickle,,,,,,,
2621,आचकुत्ली,achkutli,to tickle; To tickle or to be tickled,,,,,,,
2622,आज्जी,,,,,,,,,
2623,आज्जॉ,,,,,,,,,
2624,आड सोर्चॅ,,to lie down,,,,,,,
2625,आड्‌कुळॉ दांतु,,,,,,,,,
2626,आड्डा दुड्डी काम केल्लें,ADDa duDDI kAm kellE,"to mess up, or do some haphazard work",,,,,,,
2627,आतलीकुतली,aatlikutli,to tickle,,,,,,,
2628,आत्ते-भयणी,,,,,,,,,
2629,आत्त्ते-भाउ,,,,,,,,,
2630,आन्नम्मा,,,,,,,,,
2631,आन्नू,,,,,,,,,
2632,आपणागलॅ,,Addressing Spouse Respectfully,,,,,,,
2633,आपणागुणी,,Addressing Spouse Respectfully,,,,,,,
2634,आपणॅ,,Addressing Spouse Respectfully,,,,,,,
2635,आपापी,aapaapi; Aapaapi; apaapi,automatically,,,,,,,
2636,आंबाडाॅ,Ambado,bun shaped tying of hair; a sour and tarty green fruit used in curries and pickles,,,,,,,
2637,आमगलॅ आंग,,Our Body Parts,,,,,,,
2638,आम्ब्याचाॅ कात्ताॅ,aambyAcho kaatthaw; aambyaCHo kaatthaw,mango seed inside a mango,,,,,,,
2639,आम्मम्मा,,,,,,,,,
2640,आम्शें,aamsheen,sour,,,,,,,
2641,आयकल्वॅ,,Addressing Spouse Respectfully,,,,,,,
2642,आयकल्वेॅं,,Addressing husband respectfully,,,,,,,
2643,आयकल्वेॅं ??...हांगा येव्चे म्हळ्यारी,,"Asking husband to come here, respectfully",,,,,,,
2644,आयकुंचॅ-म्हळ्यारी,,Addressing Spouse Respectfully,,,,,,,
2645,आयकूंचॅ,,,,,,,,,
2646,आयदान,Aayadaana,"a metal vessel (copper, brass, steel)",,,,,,,
2647,आय्‌कयाती,,Addressing Spouse Respectfully,,,,,,,
2648,आलोचना,,a grave thought,,,,,,,
2649,आल्दि पेल्दिकाक,,,,,,,,,
2650,आवसू,,,,,,,,,
2651,इतें,,,,,,,,,
2652,इत्याक,,,,,,,,,
2653,इदं,,,,,,,,,
2654,इद्रइद्रारी....ज़ाल्लें,idraidrAri zAllE,caught redhanded,,,,,,,
2655,उंच,oonchh / uunch,"Up, high",,,,,,,
2656,उज्ज कद्दि,Ujja kaddi; ujja kaddi,Match stick; match stick; उज्ज कद्दि,,,,,,,
2657,उज्ज पेट्टी,Ujja petti,Match box; match box,,,,,,,
2658,उत्तरजीब​,,,,,,,,,
2659,उंदुरू; उन्दुरू,unduru,"Rat, mouse; rat; mouse",,,,,,,
2660,उद्काळ,udkALa,"very liquid, or watery",,,,,,,
2661,उपद्रव,,trouble,,,,,,,
2662,उप्राटी सुप्राटी,uprATI suprATI,topsy turvy,,,,,,,
2663,उब्गणी,ubgaNi; UbgaNi; Ubgani,"boredom, or being fed up of some act or thing; boredom, being fed up; getting fed up",,,,,,,
2664,उब्बांवचें,ubbAnvchE,to flatter someone unnecessarily,,,,,,,
2665,उर्ली,,a vessel,,,,,,,
2666,उलैता,,,,,,,,,
2667,उवारू / ऊंव्वारू; उवारू,uvaaru; uvaru,Flood; flood,,,,,,,
2668,उश्टॅ ताॅडाचाॅ,ushTE toDacho; ushte toDacho,"person with a bitter tongue, badmouth someone",,,,,,,
2669,उस्सोळचें,ussoLchE,"splash, splutter; an ""explosive"" spill/splatter, like hot oil",,,,,,,
2670,ऊभ शूभ आस्चॅ,,,,,,,,,
2671,एक्कारी एक,ekkAri eka,one after the other,,,,,,,
2672,एद्दोळ थाई,addolthai,till now,,,,,,,
2673,कट्टाॅ,kaTTO; कट्टाॅ,"cemented seating arrangement in the front yard, preferably around a large tree; cemented seating arrangement in the front yard",,,,,,,
2674,कडू उलैता,kaDu ulaitA; kadu ulaita,bitter thoughts,,,,,,,
2675,कड्डेरि,kaDDeri; kadderi,last,,,,,,,
2676,कंड्ये बागिल,kanDye baagil,door of a window,,,,,,,
2677,कत्ततो,Kattato; कत्ततो,Mango seed; for mango seed,,,,,,,
2678,कप्पाळ,,,,,,,,,
2679,कर्कर्सो...कर्कर्शी,karkarsO...karkarshI,irritable persons,,,,,,,
2680,कर्नखरी कर्ता,karnakhri kartha,to make a drama like fuss; being stubborn; doing the opposite of what you have been asked to do. A person (child) who does something they are instructed NOT to do.,,,,,,,
2681,कलयी,kalayi,a thin tin lining used for lining brass and copper vessels,,,,,,,
2682,कळय्लें,kaLaylE,Informed,,,,,,,
2683,कळसाॅंs,,,,,,,,,
2684,कवरू; कवरु,coveru,Envelope; envelope,,,,,,,
2685,कष्टी किडॉ,kashTi kiDO; kashTi kiDo,some one who keeps irritating you; someone who keeps irritating you,,,,,,,
2686,कस्ल्याक,,,,,,,,,
2687,कऽडु,,bitter,,,,,,,
2688,काssपीs गाsळी,,,,,,,,,
2689,कागद चिन्दरी चिन्दरी जालें,kaagad chindari chindari jAlE,paper is torn into small bits,,,,,,,
2690,कागदाचॅ चुर चुर कॅल्ले,,The paper was torn into small bits,,,,,,,
2691,काणु उड्डयिलें,kANu uDDayilE,"useless or worthless thing, or thought, or even a person",,,,,,,
2692,कांतणी,Kanthne; kantni; kanthne,coconut grater; vegetable cutter with seat,,,,,,,
2693,कान दीग केल्लॅ,kAna dIga kellE,to be curious about something,,,,,,,
2694,कानू,,,,,,,,,
2695,कान्,,,,,,,,,
2696,कान्नां पाsळी्,,ear lobe,,,,,,,
2697,कान्नापाळी,,,,,,,,,
2698,कापड जिरजिरेलें,kaapaDa jirjirelE,saree is torn at various places; worn out/aged clothes,,,,,,,
2699,कापुरू / कर्पूरू; काssप्पूरू,karpuru; kappuru,Camphor; camphor,,,,,,,
2700,कामांतू काम कॅलॅं,kAmAntU kAma kelE,added more work to the work that was already there,,,,,,,
2701,कायम,kAyama,"always, permanently",,,,,,,
2702,कायरे भाॅकरॅ,kAyre bhOkarE,Tom Dick and Harry,ऐरे गैरे (Marathi or Hindi),,,,,,
2703,काय्ली,,Vessel for frying food,,,,,,,
2704,कार्यानेचि कोर्नु दाकोंवचॅ,kAryAnechi kornu dAkonvchE,"to exemplify with one's action, set an example",,,,,,,
2705,काली,kaali,yesterday,,,,,,,
2706,काळसावळो,kALasAvaLo,having dark complexion,,,,,,,
2707,काळें,kaaLE,black,,,,,,,
2708,काशाचें,kaashaachE,"some alloy, maybe brass and bronze",,,,,,,
2709,काष्टी,Kashti; kashti,loin cloth; loin cloth; older times undergarment,,,,,,,
2710,काऽव चल्लौ,kAva challau,smoking hot,,,,,,,
2711,काॅटकाॅटेंवचे.....काॅटाॅ काॅटाॅ उलौंवचे,kawTaw kawTaw ulounvchen,a chatterbox,,,,,,,
2712,काॅणाक,,,,,,,,,
2713,काॅणालय उध्धार कोर्चॅ,koNAlaya uddhAr korchE,facilitating something good for someone,,,,,,,
2714,काॅण्काॅणाक सांगचॅ,koNkoNAka sAngachE,tell whomsoever,,,,,,,
2715,किरगणोॅ,KirgaNo; kirgaNo,long skirt,,,,,,,
2716,किरिंगिरी बॉट,,,,,,,,,
2717,कीरू; कीssरू,keeru,Parrot; parrot,,,,,,,
2718,कीळचूचे,Keeldchooche; keeldchooche,to provoke or incite someone; To provoke or incite someone,Also means to shout or shriek,,,,,,
2719,कुचू कुचू,,,,,,,,,
2720,कुंभारू,kumbhaaru,Potter; potter,,,,,,,
2721,कुर्टु,,,,,,,,,
2722,कुस्संलॅ /कुस्सली /कुस्सलाॅ,kussalE /kussali /kussalO,ugly,,,,,,,
2723,कुस्सलॅ/कुस्डाॅ,kussalE/kusDO,"snobbish, arrogant",,,,,,,
2724,कॅद्नाई,kednAI,"always, all the time",,,,,,,
2725,कॅलेल्याचॅ हत्तारी मॅळता,kelelyAchE hattArI meLatA,"to reap the fruit; to suffer for any bad deed done; What you sow, that you reap",,,,,,,
2726,कॅळ्याचो गडाऊ,keLyAcho gaDAyu; kelyaCHo gadaayu,a bunch of bananas,,,,,,,
2727,केप्पे बेंगॅ,keppe bengE; keppe benge,being picky,,,,,,,
2728,केळी पान,keLI paan; kelli paan,"banana leaf, especially used as a plate for serving or eating; banana leaf, esp. used as a plate for serving or eating",,,,,,,
2729,केळॅ कच्रें,Kalein kachre,banana chips,,,,,,,
2730,कोंडबुळ,,a vessel,,,,,,,
2731,कोपोरू / कोंप्पोरू; कोपोरू,khoporu; kopporu,Elbow; elbow,,,,,,,
2732,कोप्पोरू,,,,,,,,,
2733,कोरोंवचॅ,,,,,,,,,
2734,खंई वचगलो/वचुगलो,khaI vachgalO/vachugalO,where did he go (masculine),,,,,,,
2735,खणखणी ताळाॅ,,a sharp resonant voice,,,,,,,
2736,खतखती,khatkhati,boiling hot,,,,,,,
2737,खत् खती,,,,,,,,,
2738,खब्बरी -तिळसूंची/तिळसुई/तिळसुयली,,,,,,,,,
2739,खळी (खळ्यॉ),,dimple,,,,,,,
2740,खव्लॉ,khawlo,"butter churner; butter churner, churner for curd/daal",,,,,,,
2741,खव्लोॅ,khavlO; khavlo,for churning curd/daal; churner for curd/daal,,,,,,,
2742,खाक्कॉ,,,,,,,,,
2743,खांदॉ (खांदॅ),,,,,,,,,
2744,खासा-भयणी,,,,,,,,,
2745,खासा-भाउ,,,,,,,,,
2746,खिस्णी,khisni,vegetable grater,,,,,,,
2747,खुशालबाय,khushAlabAya; Khushaalbaay,very jovial,,,,,,,
2748,खोप्पोरु,Khopporu,elbow,,,,,,,
2749,खोप्पोरु Khopporu,,elbow,,,,,,,
2750,गलाटो,galatau,too much noise specially made by children,,,,,,,
2751,गलास तगुपोडणू चुर चुर जालें,,,,,,,,,
2752,गळगळो,Galgallo,gargling,,,,,,,
2753,गळॉ,,,,,,,,,
2754,गांssटी,,knot,,,,,,,
2755,गांटी,,पत्र्ड्या् पांन्ना गांट्ये उपकरी,,,,,,,
2756,गाडव सो काम करता,gADava so kAma karatA,doing hard work,,,,,,,
2757,गाल gaala,,cheeks,,,,,,,
2758,गाल,gaala,cheeks,,,,,,,
2759,गालु,gaalu,cheek,,,,,,,
2760,गालु गालु,,cheek,,,,,,,
2761,गाॅरॅ; गाॅरॅं,Gorayn,fair,,,,,,,
2762,गुट्गुटी; गुट्गुटि,guTguTi; gutguti,chubby baby; word used for drinking a liquid rapidly,,,,,,,
2763,गुट्टू कोर्चाॅ...एकै गुट्टारी आस्चॅ,guTTu korchO...ekai guTTArI AschE,to be secretive,,,,,,,
2764,गुड गुडू,,,,,,,,,
2765,गुदगुदली,gudgudli,to tickle,,,,,,,
2766,गुरगुट्टू,gurguTTu,fat and round person,,,,,,,
2767,गुर्तू कोर्नु घेंवचाॅ,,to befriend someone,,,,,,,
2768,गुर्तू ज़ांवचाॅ,,be an aquaintance,,,,,,,
2769,गुलांटी,,,,,,,,,
2770,गुलांटी् मार्ची,,,,,,,,,
2771,गुल्गुली,gulguli; Gulguli,chubby baby; Chubby baby,,,,,,,
2772,गुल्गुली (gulguli) = chubby baby,,,,,,,,,
2773,गुळणी करप (gulni karap) = to gargle,,,,,,,,,
2774,गेललो,Gello,passed away,,,,,,,
2775,गैरव लागचो,gairav lAgachO,cobwebs,,,,,,,
2776,गोड्शें,godsheen,sweet,,,,,,,
2777,गोतसकी,gotasakI,"do you know, are you aware?",,,,,,,
2778,गोधूळी..वेळू,Godhuli velu,twilight,,,,,,,
2779,गोबोरू / गोब्बोरू,gobbaru,"Ash, wood ash",,,,,,,
2780,ग्गलो,ggallo,died,,,,,,,
2781,ग्राचारं,grAchAraM,misfortune,,,,,,,
2782,ग्लास तगुपोडणू चुर चुर जालें,,,,,,,,,
2783,ग्लास भेत्तूनू चूssर-चूर जाल्ले,,,,,,,,,
2784,घडिये एकफंता,,time and again,,,,,,,
2785,घमघमी,,,,,,,,,
2786,"घमघमी मसालेभात, सुटसुटी",,,,,,,,,
2787,घासोंचॅ,,to burden someone with some work,,,,,,,
2788,घैरव,gairav,cobwebs,,,,,,,
2789,घोsट भरी,Ghot bhari; GHot bhari,rinse the mouth,,,,,,,
2790,चकचकी,,,,,,,,,
2791,"चकचकी, फटफटी ,धडधडी फट्टी उलैता,चमचमी",,,,,,,,,
2792,चंबू,,,,,,,,,
2793,चमचमी,,,,,,,,,
2794,चर्डव,,,,,,,,,
2795,चल्यॉ,,,,,,,,,
2796,चल्ली,,,,,,,,,
2797,चल्ली-चेर्डु,,,,,,,,,
2798,चल्लॅ,,,,,,,,,
2799,चल्लॅ-चेर्डु,,,,,,,,,
2800,चल्लॉ,,,,,,,,,
2801,चांभारू,chaamhaaru; chamaru; chambaaru,Cobbler; cobler,,,,,,,
2802,चामकीळ (चामकळू),,,,,,,,,
2803,चामराॅ,Chaamara,"traditional fan made of animal hair, used to fan God and Royalty",,,,,,,
2804,चिंकारू,chinkaru,"badly lit, dark atmosphere; a dull lonely feeling; the Sound of Silence in a jungle or empty place; badly lit, dark atmosphere, a dull lonely feeling",,,,,,,
2805,चिके चिके,,,,,,,,,
2806,"चिके चिके गॅत्तस्लतरी, tutorial शिकै Milind 👍समऽ शिक्कूक ज़ात्लें",,"Even if a bit is known (with trial & error), your tutorial will help to learn to type as required",,,,,,,
2807,"चिके चिके गॅत्तस्लतरी, tutorial शिकै Milind 👍समऽ शिक्कूक ज़ात्लें = Even if a bit is known (with trial & error), your tutorial will help to learn to type as required",,,,,,,,,
2808,चिकेची,,,,,,,,,
2809,चिक्के्-चिक्के्,,(corrected version),,,,,,,
2810,चिगुरू,Chiguroo; chiguroo,tender shoot of a plant; feeling rejuvenated; tender shoot of a plant,,,,,,,
2811,चिंचारू,chincharu,Tamarind seed,,,,,,,
2812,चिट्ट गोरी,chiTTa gori,pure white,,,,,,,
2813,चिन्कांतणॅ,Chinkantne; chinkantne,spoon for cutting savoury and sweet edges,,,,,,,
2814,चिल्लर / चिल्लरॅ; चिल्लर,Chillar,change (money),,,,,,,
2815,चुक्कूनु,,,,,,,,,
2816,चुक्कूनू तोंडां आयलेॅं गोॅं ... वग्गी देवांक् एssकू मुक्कालू दवरी,,"By mistake if you happen to pronounce your husband's name, the punishment was to pay one paisa to home deity",,,,,,,
2817,"चुक्कूनू तोंडां आयलेॅं गोॅं ... वग्गी देवांक् एssकू मुक्कालू दवरी = By mistake if you happen to pronounce your husband's name, the punishment was to pay one paisa to home deity",,,,,,,,,
2818,चुरचुराॅ जात्ता,,,,,,,,,
2819,चुरमुंडो,,,,,,,,,
2820,चुरमुंडो (गोॅंव्वा पिट्टें ऊंड्डो),,someone who is bit over weight and sweet like laddoo,,,,,,,
2821,चुरमुंडो (गोॅंव्वा पिट्टें ऊंड्डो) = someone who is bit over weight and sweet like laddoo,,,,,,,,,
2822,चुरु,,"masculine word (""churu zallo"")",,,,,,,
2823,चूरु,,a little (Kannada),,,,,,,
2824,चूर्-चूssर,,,,,,,,,
2825,चॅरॅ कोरचॅ,chere korche,"to tease, belittle someone; to mimic/imitate someone in a negative way",,,,,,,
2826,चोग्रू; चोग्रु,chogru,"astringent or acrid; tolerable bitter; bitter, astringent, acrid",,,,,,,
2827,चोचडी उलोंवचॅ,,"to speak in an unclear manner, childish gibberish",,,,,,,
2828,चोरू / चोssरू; चोरू; चोssरू,choru,Thief; thief,,,,,,,
2829,जग ऊंच तोगु कोर्चॅ,jaga Uncha togu korchE,to upset something or put something in disarray,,,,,,,
2830,जग हाल्लौनु सोळ्ळें,jaga hAllaunu soLLE,to turn everything upside down,,,,,,,
2831,जग्ली,जग्ली,plinth around the house or Temple,,,,,,,
2832,जय शकंर पाच्चि,,Jai Shankar pachi,,,,,,,
2833,जांग​,,,,,,,,,
2834,जाग्रणं जाल्लॅ,,,,,,,,,
2835,जाग्रता सांगची,jAgratA sAngachI,beware of something,,,,,,,
2836,जांग्वालॉ,,,,,,,,,
2837,जायद व्हे?,,,,,,,,,
2838,जायदीसू / ज़ायदीसू,Jaaydisu / Zaaydisu,birthday,,,,,,,
2839,ज़ालतर्की,zAlatarkI,"even then, or even otherwise",,,,,,,
2840,जावंयी,,,,,,,,,
2841,जावॉ,,,,,,,,,
2842,जाऽऽव​,,,,,,,,,
2843,जिर्साली मिर्सांग,jirsali mirsAng,"someone who is shrewd, quick on the uptake",,,,,,,
2844,जीवु हात्तांतु धेवनु आसचॅ,jIvu hAttAntu dhevanu AsachE,to be mortally scared or fear some imminent danger,,,,,,,
2845,जेवतंनां जेवणां-ताट्टयांतू एक चूssर् सोडूं नज्,,"When having food, you should not leave any food in the plate",,,,,,,
2846,"जेवतंनां जेवणां-ताट्टयांतू एक चूssर् सोडूं नज् = When having food, you should not leave any food in the plate",,,,,,,,,
2847,जौकेरी,jaukeri; Jaukeri,beware,,,,,,,
2848,झग झगी,,,,,,,,,
2849,झगझगी,,,,,,,,,
2850,झगझगी झरझरी,,,,,,,,,
2851,झगझगु,jhagajhagu,"shine, glitter",,,,,,,
